,query_len,query_dwell_time,BEGIN_SEARCH_count,JUMP_IN_count,MOUSE_MOVE_count,JUMP_OUT_count,QUERY_REFORM_count,HOVER_count,CLICK_count,SCROLL_count,OVER_count,SEARCH_END_count,GOTO_PAGE_count,clicked_doc_count,query_relevance_count,query_key_count,task_relevance_count,task_key_count,query_nDCG3,query_nDCG5,query_nDCG10,task_nDCG3,task_nDCG5,task_nDCG10,query_precision3,query_precision5,query_precision10,task_precision3,task_precision5,task_precision10,num_of_click3,ave_query_relevant_score,ave_task_relevant_score,new_unique_query_terms_num,query_similarity
count,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0
mean,9.939922480620154,112237.47308354866,1.1266149870801034,3.106589147286822,98.45736434108527,2.740956072351421,0.7674418604651163,19.7312661498708,2.205426356589147,60.37403100775194,0.29844961240310075,0.011627906976744186,0.060077519379844964,2.195736434108527,1.9186046511627908,1.528423772609819,1.8708010335917313,1.4819121447028423,0.6506490749555571,0.6895535897605825,0.8233614788796486,0.5949187242947102,0.6462736072618464,0.7888102233189656,0.862080103359174,0.8583225667527923,0.8450394261925264,0.8191214470284236,0.8146533161067978,0.7970312435913193,0.8565891472868217,1.9358165682293604,1.7683867560805548,0.4729042509925727,0.36930738998611556
std,5.757174933343665,114946.29357559487,0.4668614087764282,2.64604604227749,67.1141690781085,2.2031773765838487,0.5765729559006844,17.105630359401193,1.8054493427994016,79.27633437549022,0.4605414585904849,0.11868351791074351,0.30234249287496223,1.8868599246419535,1.6822093135402048,1.4457993349267757,1.6394774670732604,1.5063952314847633,0.2586242230619563,0.22323957204414496,0.18991943993722044,0.27442843786590315,0.23637660282380335,0.19923237032407742,0.23816328332198372,0.22010759456297851,0.20777933073281596,0.27002651311372816,0.24833150406866655,0.2319193288970912,0.8734253689050788,1.0689079187739225,1.03148654359028,0.3642938796100306,0.30800869826531363
min,2.0,3224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,7.0,43201.75,1.0,1.0,52.75,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.511576141875023,0.5677988737966708,0.7567322161433668,0.3966416379707417,0.5161963696507114,0.7158023156599318,0.6666666666666666,0.8,0.8,0.6666666666666666,0.8,0.7,0.0,1.2232142857142856,1.0,0.2,0.0
50%,9.0,80581.5,1.0,2.0,83.0,2.0,1.0,16.0,2.0,36.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.6903187831542702,0.7196802858636574,0.8710919907945536,0.6121358688798995,0.6686278876250604,0.8287441471810207,1.0,1.0,0.9,1.0,0.8,0.9,1.0,2.2,2.0,0.3333333333333333,0.38461538461538464
75%,12.0,137907.75,1.0,4.0,127.0,4.0,1.0,28.0,3.0,87.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,0.8308103365909342,0.8457314377803302,0.9431026181356508,0.8046129061698147,0.8165832016561192,0.9247403154446284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.6666666666666665,1.0,0.6153846153846154
max,76.0,1530269.0,6.0,19.0,599.0,18.0,5.0,168.0,18.0,664.0,2.0,2.0,4.0,18.0,16.0,15.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0
