,target,score_session_ave,score_session_sum,query_dwell_time_session_sum,clicked_doc_count_session_sum,session_len,score_session_ave,score_session_sum,score_session_peak,score_session_end,query_dwell_time_session_sum,clicked_doc_count_session_sum,session_len
0,2,0.9375000000000002,-0.6666666666666666,-0.9408482548665078,-0.7142857142857143,-1.0,0.9375000000000002,-0.6666666666666666,0.0,0.5,-0.9408482548665078,-0.7142857142857143,-1.0
1,0,-0.8125000000000003,-0.3333333333333333,0.12687462606643374,0.0,0.0,-0.8125000000000003,-0.3333333333333333,-2.0,-0.5,0.12687462606643374,0.0,0.0
2,2,0.9375000000000002,-0.6666666666666666,-0.7945836239410036,-0.42857142857142855,-1.0,0.9375000000000002,-0.6666666666666666,0.0,0.5,-0.7945836239410036,-0.42857142857142855,-1.0
3,2,0.3750000000000001,0.6666666666666666,0.035925168111716685,-0.14285714285714285,0.5,0.3750000000000001,0.6666666666666666,0.0,0.0,0.035925168111716685,-0.14285714285714285,0.5
4,0,-0.5625000000000001,-0.5555555555555556,-0.805594211425757,-0.7142857142857143,-0.5,-0.5625000000000001,-0.5555555555555556,-2.0,-0.5,-0.805594211425757,-0.7142857142857143,-0.5
5,2,-0.06250000000000012,0.0,-0.5744412895377933,-0.5714285714285714,0.0,-0.06250000000000012,0.0,0.0,0.5,-0.5744412895377933,-0.5714285714285714,0.0
6,2,0.9375000000000002,-0.6666666666666666,-0.8263394672211075,-0.7142857142857143,-1.0,0.9375000000000002,-0.6666666666666666,0.0,0.5,-0.8263394672211075,-0.7142857142857143,-1.0
7,0,-0.18750000000000006,-0.4444444444444444,-0.8166147153807759,-0.7142857142857143,-0.5,-0.18750000000000006,-0.4444444444444444,-1.0,0.0,-0.8166147153807759,-0.7142857142857143,-0.5
8,0,-1.3125000000000002,-1.0,-0.2791651654232515,-0.2857142857142857,-1.0,-1.3125000000000002,-1.0,-3.0,-1.0,-0.2791651654232515,-0.2857142857142857,-1.0
9,1,0.7500000000000002,0.8888888888888888,1.535529060216113,1.0,0.5,0.7500000000000002,0.8888888888888888,0.0,0.5,1.535529060216113,1.0,0.5
10,0,-1.098214285714286,0.5555555555555556,0.8949779689085602,2.2857142857142856,2.0,-1.098214285714286,0.5555555555555556,-2.0,-1.0,0.8949779689085602,2.2857142857142856,2.0
11,2,0.9375000000000002,-0.6666666666666666,-0.43301589610183555,-0.42857142857142855,-1.0,0.9375000000000002,-0.6666666666666666,0.0,0.5,-0.43301589610183555,-0.42857142857142855,-1.0
12,2,-0.5625000000000001,-0.5555555555555556,-0.7364367477944117,-0.5714285714285714,-0.5,-0.5625000000000001,-0.5555555555555556,0.0,0.5,-0.7364367477944117,-0.5714285714285714,-0.5
13,0,-1.8125000000000007,0.1111111111111111,0.9683102665216659,1.2857142857142858,3.0,-1.8125000000000007,0.1111111111111111,-3.0,-1.5,0.9683102665216659,1.2857142857142858,3.0
14,0,-0.31249999999999994,-0.1111111111111111,0.465446059359991,0.2857142857142857,0.0,-0.31249999999999994,-0.1111111111111111,-1.0,0.0,0.465446059359991,0.2857142857142857,0.0
15,1,-0.18750000000000006,-0.4444444444444444,1.006610980176976,0.14285714285714285,-0.5,-0.18750000000000006,-0.4444444444444444,-1.0,0.0,1.006610980176976,0.14285714285714285,-0.5
16,0,-0.5625000000000001,-0.2222222222222222,-0.14516059723594918,0.14285714285714285,0.0,-0.5625000000000001,-0.2222222222222222,-2.0,-0.5,-0.14516059723594918,0.14285714285714285,0.0
17,1,-0.06250000000000012,0.0,0.07892188135273877,0.14285714285714285,0.0,-0.06250000000000012,0.0,-1.0,0.0,0.07892188135273877,0.14285714285714285,0.0
18,0,-0.3750000000000001,0.2222222222222222,-0.14276411692179541,0.14285714285714285,0.5,-0.3750000000000001,0.2222222222222222,0.0,-0.5,-0.14276411692179541,0.14285714285714285,0.5
