,dataset,past_peak_cols,past_ave_cols,past_end_cols
0,Session2014,"['QueryLength_peak', 'QueryDwellTime_peak', 'NewTerm_peak', 'QuerySim_peak', 'ClickCount_peak', 'KeyDocCount_peak', 'RelDocCount_peak', 'AvgContent_peak', 'TotalContent_peak', 'AveClickRank_peak', 'ClickDepth_peak', 'SERPtime_peak', 'RR_peak', 'Clicks@3_peak', 'Clicks@5_peak', 'Clicks@5+_peak', 'nDCG@3_peak', 'nDCG@5_peak', 'nDCG@10_peak', 'Precision@3_peak', 'Precision@5_peak', 'Precision@10_peak', 'Cost-Benefit-1_peak', 'Cost-Benefit-1_1_peak', 'Cost-Benefit-1_2_peak', 'Cost-Benefit-2_peak', 'Cost-Benefit-3_peak']","['QueryLength_ave', 'QueryDwellTime_ave', 'NewTerm_ave', 'QuerySim_ave', 'ClickCount_ave', 'KeyDocCount_ave', 'RelDocCount_ave', 'AvgContent_ave', 'TotalContent_ave', 'AveClickRank_ave', 'ClickDepth_ave', 'SERPtime_ave', 'RR_ave', 'Clicks@3_ave', 'Clicks@5_ave', 'Clicks@5+_ave', 'nDCG@3_ave', 'nDCG@5_ave', 'nDCG@10_ave', 'Precision@3_ave', 'Precision@5_ave', 'Precision@10_ave', 'Cost-Benefit-1_ave', 'Cost-Benefit-1_1_ave', 'Cost-Benefit-1_2_ave', 'Cost-Benefit-2_ave', 'Cost-Benefit-3_ave']","['QueryLength_end', 'QueryDwellTime_end', 'NewTerm_end', 'QuerySim_end', 'ClickCount_end', 'KeyDocCount_end', 'RelDocCount_end', 'AvgContent_end', 'TotalContent_end', 'AveClickRank_end', 'ClickDepth_end', 'SERPtime_end', 'RR_end', 'Clicks@3_end', 'Clicks@5_end', 'Clicks@5+_end', 'nDCG@3_end', 'nDCG@5_end', 'nDCG@10_end', 'Precision@3_end', 'Precision@5_end', 'Precision@10_end', 'Cost-Benefit-1_end', 'Cost-Benefit-1_1_end', 'Cost-Benefit-1_2_end', 'Cost-Benefit-2_end', 'Cost-Benefit-3_end']"
1,Session2013,"['QueryLength_peak', 'QueryDwellTime_peak', 'NewTerm_peak', 'QuerySim_peak', 'ClickCount_peak', 'KeyDocCount_peak', 'RelDocCount_peak', 'AvgContent_peak', 'TotalContent_peak', 'AveClickRank_peak', 'ClickDepth_peak', 'SERPtime_peak', 'RR_peak', 'Clicks@3_peak', 'Clicks@5_peak', 'Clicks@5+_peak', 'nDCG@3_peak', 'nDCG@5_peak', 'nDCG@10_peak', 'Precision@3_peak', 'Precision@5_peak', 'Precision@10_peak', 'AvgRelScore_peak']","['QueryLength_ave', 'QueryDwellTime_ave', 'NewTerm_ave', 'QuerySim_ave', 'ClickCount_ave', 'KeyDocCount_ave', 'RelDocCount_ave', 'AvgContent_ave', 'TotalContent_ave', 'AveClickRank_ave', 'ClickDepth_ave', 'SERPtime_ave', 'RR_ave', 'Clicks@3_ave', 'Clicks@5_ave', 'Clicks@5+_ave', 'nDCG@3_ave', 'nDCG@5_ave', 'nDCG@10_ave', 'Precision@3_ave', 'Precision@5_ave', 'Precision@10_ave', 'AvgRelScore_ave']","['QueryLength_end', 'QueryDwellTime_end', 'NewTerm_end', 'QuerySim_end', 'ClickCount_end', 'KeyDocCount_end', 'RelDocCount_end', 'AvgContent_end', 'TotalContent_end', 'AveClickRank_end', 'ClickDepth_end', 'SERPtime_end', 'RR_end', 'Clicks@3_end', 'Clicks@5_end', 'Clicks@5+_end', 'nDCG@3_end', 'nDCG@5_end', 'nDCG@10_end', 'Precision@3_end', 'Precision@5_end', 'Precision@10_end', 'AvgRelScore_end']"
2,KDD19,"['QueryLength_peak', 'QueryDwellTime_peak', 'NewTerm_peak', 'QuerySim_peak', 'ClickCount_peak', 'QueryRelDocCount_peak', 'QueryKeyDocCount_peak', 'TaskRelDocCount_peak', 'TaskKeyDocCount_peak', 'QueryNDCG@3_peak', 'QueryNDCG@5_peak', 'QueryNDCG@10_peak', 'TaskNDCG@3_peak', 'TaskNDCG@5_peak', 'TaskNDCG@10_peak', 'QueryPrecision@3_peak', 'QueryPrecision@5_peak', 'QueryPrecision@10_peak', 'TaskPrecision@3_peak', 'TaskPrecision@5_peak', 'TaskPrecision@10_peak', 'Clicks@3_peak', 'Clicks@5_peak', 'Clicks@10_peak', 'AveQueryRelScore_peak', 'AveTaskRelScore_peak', 'NewTerm_peak', 'QuerySim_peak', 'ClickDepth_peak']","['QueryLength_ave', 'QueryDwellTime_ave', 'NewTerm_ave', 'QuerySim_ave', 'ClickCount_ave', 'QueryRelDocCount_ave', 'QueryKeyDocCount_ave', 'TaskRelDocCount_ave', 'TaskKeyDocCount_ave', 'QueryNDCG@3_ave', 'QueryNDCG@5_ave', 'QueryNDCG@10_ave', 'TaskNDCG@3_ave', 'TaskNDCG@5_ave', 'TaskNDCG@10_ave', 'QueryPrecision@3_ave', 'QueryPrecision@5_ave', 'QueryPrecision@10_ave', 'TaskPrecision@3_ave', 'TaskPrecision@5_ave', 'TaskPrecision@10_ave', 'Clicks@3_ave', 'Clicks@5_ave', 'Clicks@10_ave', 'AveQueryRelScore_ave', 'AveTaskRelScore_ave', 'NewTerm_ave', 'QuerySim_ave', 'ClickDepth_ave']","['QueryLength_end', 'QueryDwellTime_end', 'NewTerm_end', 'QuerySim_end', 'ClickCount_end', 'QueryRelDocCount_end', 'QueryKeyDocCount_end', 'TaskRelDocCount_end', 'TaskKeyDocCount_end', 'QueryNDCG@3_end', 'QueryNDCG@5_end', 'QueryNDCG@10_end', 'TaskNDCG@3_end', 'TaskNDCG@5_end', 'TaskNDCG@10_end', 'QueryPrecision@3_end', 'QueryPrecision@5_end', 'QueryPrecision@10_end', 'TaskPrecision@3_end', 'TaskPrecision@5_end', 'TaskPrecision@10_end', 'Clicks@3_end', 'Clicks@5_end', 'Clicks@10_end', 'AveQueryRelScore_end', 'AveTaskRelScore_end', 'NewTerm_end', 'QuerySim_end', 'ClickDepth_end']"
