,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.675917+/0.030488,0.765956+/0.029455,0.090038+/0.028182,0.996,0.617036+/0.028696,0.690036+/0.02847,0.073+/0.029815,0.992,0.617036+/0.028696,0.690036+/0.02847,0.073+/0.029815,0.992,0.616815+/0.028695,0.689917+/0.028486,0.073102+/0.029844,0.992
lgb,0.650553+/0.030664,0.781045+/0.027416,0.130492+/0.028946,1.0,0.595655+/0.029276,0.697755+/0.027834,0.1021+/0.034328,1.0,0.595655+/0.029276,0.697755+/0.027834,0.1021+/0.034328,1.0,0.59514+/0.029312,0.697686+/0.027811,0.102546+/0.034314,1.0
rfc,0.632076+/0.032719,0.73834+/0.029865,0.106264+/0.036573,1.0,0.585545+/0.031005,0.673018+/0.029624,0.087473+/0.038646,0.978,0.585545+/0.031005,0.673018+/0.029624,0.087473+/0.038646,0.978,0.584401+/0.031258,0.672319+/0.029732,0.087918+/0.038952,0.984
xgb,0.667351+/0.030508,0.789637+/0.026649,0.122285+/0.028003,1.0,0.607482+/0.028696,0.705873+/0.028301,0.098391+/0.031467,1.0,0.607482+/0.028696,0.705873+/0.028301,0.098391+/0.031467,1.0,0.606567+/0.028729,0.705805+/0.028361,0.099238+/0.031565,1.0
knn,0.569549+/0.032691,0.68003+/0.032543,0.110481+/0.03648,0.998,0.542045+/0.030475,0.636464+/0.030298,0.094418+/0.03601,0.994,0.542045+/0.030475,0.636464+/0.030298,0.094418+/0.03601,0.994,0.541328+/0.030629,0.636338+/0.030408,0.09501+/0.036176,0.994
dt,0.565114+/0.030975,0.633751+/0.030696,0.068636+/0.04162,0.948,0.565+/0.030891,0.633491+/0.030766,0.068491+/0.041558,0.946,0.565+/0.030891,0.633491+/0.030766,0.068491+/0.041558,0.946,0.564792+/0.03091,0.633361+/0.030796,0.068569+/0.041626,0.948
