,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.675917+/0.030488,0.767241+/0.026791,0.091324+/0.027372,1.0,0.617036+/0.028696,0.692218+/0.028277,0.075182+/0.030919,0.99,0.617036+/0.028696,0.692218+/0.028277,0.075182+/0.030919,0.99,0.616815+/0.028695,0.692106+/0.028306,0.075291+/0.030955,0.99
lgb,0.650553+/0.030664,0.778875+/0.026781,0.128322+/0.027487,1.0,0.595655+/0.029276,0.695027+/0.028043,0.099373+/0.032884,1.0,0.595655+/0.029276,0.695027+/0.028043,0.099373+/0.032884,1.0,0.59514+/0.029312,0.694929+/0.028076,0.099789+/0.032885,1.0
rfc,0.631791+/0.032616,0.736113+/0.030515,0.104322+/0.035663,0.994,0.585627+/0.03047,0.670836+/0.029467,0.085209+/0.037821,0.982,0.585627+/0.03047,0.670836+/0.029467,0.085209+/0.037821,0.982,0.584634+/0.030692,0.670098+/0.029534,0.085464+/0.038039,0.984
xgb,0.667351+/0.030508,0.788548+/0.025958,0.121197+/0.027506,1.0,0.607482+/0.028696,0.702536+/0.028095,0.095055+/0.032403,1.0,0.607482+/0.028696,0.702536+/0.028095,0.095055+/0.032403,1.0,0.606567+/0.028729,0.702467+/0.028119,0.0959+/0.032508,1.0
knn,0.569549+/0.032691,0.667305+/0.032847,0.097756+/0.036085,0.992,0.542045+/0.030475,0.627782+/0.029913,0.085736+/0.037029,0.976,0.542045+/0.030475,0.627782+/0.029913,0.085736+/0.037029,0.976,0.541328+/0.030629,0.627674+/0.029916,0.086346+/0.037134,0.98
dt,0.565276+/0.03013,0.63615+/0.030927,0.070874+/0.041006,0.956,0.565073+/0.030055,0.635855+/0.031021,0.070782+/0.040946,0.954,0.565073+/0.030055,0.635855+/0.031021,0.070782+/0.040946,0.954,0.564832+/0.030109,0.635731+/0.031027,0.070899+/0.040975,0.958
