,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.675917+/0.030488,0.768676+/0.026475,0.092759+/0.027539,1.0,0.617036+/0.028696,0.691555+/0.02859,0.074518+/0.031079,0.992,0.617036+/0.028696,0.691555+/0.02859,0.074518+/0.031079,0.992,0.616815+/0.028695,0.691453+/0.028612,0.074638+/0.031116,0.992
lgb,0.650553+/0.030664,0.779883+/0.026898,0.12933+/0.028372,1.0,0.595655+/0.029276,0.697109+/0.027977,0.101455+/0.033325,0.998,0.595655+/0.029276,0.697109+/0.027977,0.101455+/0.033325,0.998,0.59514+/0.029312,0.697004+/0.027972,0.101864+/0.033344,0.998
rfc,0.633+/0.034039,0.738796+/0.031505,0.105796+/0.034637,1.0,0.587155+/0.031127,0.675809+/0.029639,0.088655+/0.035607,0.994,0.587155+/0.031127,0.675809+/0.029639,0.088655+/0.035607,0.994,0.586001+/0.031322,0.675092+/0.029768,0.089091+/0.035768,0.996
xgb,0.667351+/0.030508,0.788076+/0.026165,0.120724+/0.027687,1.0,0.607482+/0.028696,0.704245+/0.028316,0.096764+/0.032126,0.998,0.607482+/0.028696,0.704245+/0.028316,0.096764+/0.032126,0.998,0.606567+/0.028729,0.704182+/0.028317,0.097615+/0.032216,1.0
knn,0.569549+/0.032691,0.689878+/0.032795,0.120329+/0.036611,1.0,0.542045+/0.030475,0.642345+/0.031446,0.1003+/0.038054,0.994,0.542045+/0.030475,0.642345+/0.031446,0.1003+/0.038054,0.994,0.541328+/0.030629,0.641959+/0.031603,0.100631+/0.038193,0.994
dt,0.566635+/0.03226,0.637719+/0.030622,0.071085+/0.041945,0.948,0.566527+/0.032185,0.637573+/0.030648,0.071045+/0.041866,0.946,0.566527+/0.032185,0.637573+/0.030648,0.071045+/0.041866,0.946,0.56627+/0.032169,0.637497+/0.030584,0.071227+/0.041965,0.948
