,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.675917+/0.030488,0.76717+/0.026581,0.091253+/0.02752,1.0,0.617036+/0.028696,0.692664+/0.027718,0.075627+/0.030954,0.988,0.617036+/0.028696,0.692664+/0.027718,0.075627+/0.030954,0.988,0.616815+/0.028695,0.692555+/0.02774,0.07574+/0.030989,0.992
lgb,0.650553+/0.030664,0.779207+/0.027277,0.128654+/0.028951,1.0,0.595655+/0.029276,0.698082+/0.029548,0.102427+/0.033917,1.0,0.595655+/0.029276,0.698082+/0.029548,0.102427+/0.033917,1.0,0.59514+/0.029312,0.698011+/0.029551,0.102871+/0.033906,1.0
rfc,0.634739+/0.032988,0.740718+/0.029391,0.105979+/0.035766,0.998,0.589018+/0.031219,0.676073+/0.029191,0.087055+/0.037656,0.986,0.589018+/0.031219,0.676073+/0.029191,0.087055+/0.037656,0.986,0.587983+/0.031345,0.675445+/0.029219,0.087462+/0.037964,0.988
xgb,0.667351+/0.030508,0.789719+/0.02699,0.122367+/0.028302,1.0,0.607482+/0.028696,0.704109+/0.028831,0.096627+/0.032744,0.998,0.607482+/0.028696,0.704109+/0.028831,0.096627+/0.032744,0.998,0.606567+/0.028729,0.704032+/0.02885,0.097465+/0.032832,1.0
knn,0.569549+/0.032691,0.678293+/0.031619,0.108744+/0.037451,0.998,0.542045+/0.030475,0.635109+/0.029307,0.093064+/0.037048,0.988,0.542045+/0.030475,0.635109+/0.029307,0.093064+/0.037048,0.988,0.541328+/0.030629,0.634937+/0.029309,0.093609+/0.037161,0.99
dt,0.566157+/0.030942,0.635838+/0.031151,0.069681+/0.041192,0.954,0.566064+/0.03094,0.6354+/0.031249,0.069336+/0.041255,0.948,0.566064+/0.03094,0.6354+/0.031249,0.069336+/0.041255,0.948,0.565849+/0.030938,0.635301+/0.031249,0.069452+/0.041253,0.954
