,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.675917+/0.030488,0.765996+/0.02644,0.090078+/0.026894,1.0,0.617036+/0.028696,0.690255+/0.027072,0.073218+/0.029424,0.998,0.617036+/0.028696,0.690255+/0.027072,0.073218+/0.029424,0.998,0.616815+/0.028695,0.690154+/0.027098,0.07334+/0.029418,1.0
lgb,0.650553+/0.030664,0.782333+/0.026437,0.13178+/0.027748,1.0,0.595655+/0.029276,0.697755+/0.027429,0.1021+/0.032943,1.0,0.595655+/0.029276,0.697755+/0.027429,0.1021+/0.032943,1.0,0.59514+/0.029312,0.697652+/0.02744,0.102512+/0.032959,1.0
rfc,0.63398+/0.033284,0.735561+/0.029669,0.101581+/0.034706,1.0,0.586764+/0.030811,0.672018+/0.029591,0.085255+/0.037153,0.99,0.586764+/0.030811,0.672018+/0.029591,0.085255+/0.037153,0.99,0.585683+/0.030982,0.671414+/0.02964,0.085731+/0.037343,0.992
xgb,0.667351+/0.030508,0.792075+/0.026211,0.124723+/0.027448,1.0,0.607482+/0.028696,0.7062+/0.028007,0.098718+/0.031754,1.0,0.607482+/0.028696,0.7062+/0.028007,0.098718+/0.031754,1.0,0.606567+/0.028729,0.706116+/0.028017,0.099549+/0.031891,1.0
knn,0.569549+/0.032691,0.67498+/0.03131,0.105431+/0.034959,0.998,0.542045+/0.030475,0.629964+/0.028992,0.087918+/0.03484,0.988,0.542045+/0.030475,0.629964+/0.028992,0.087918+/0.03484,0.988,0.541328+/0.030629,0.629662+/0.02904,0.088333+/0.034996,0.988
dt,0.565925+/0.030546,0.635708+/0.030665,0.069783+/0.039705,0.956,0.565791+/0.030556,0.635482+/0.030695,0.069691+/0.039603,0.952,0.565791+/0.030556,0.635482+/0.030695,0.069691+/0.039603,0.952,0.565577+/0.03061,0.635329+/0.030776,0.069752+/0.039768,0.958
