,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.58875+/0.065788,0.734199+/0.055192,0.14545+/0.061597,0.992,0.556037+/0.056381,0.664815+/0.055968,0.108778+/0.06659,0.932,0.556037+/0.056381,0.664815+/0.055968,0.108778+/0.06659,0.932,0.554872+/0.05641,0.664462+/0.055997,0.10959+/0.067162,0.942
lgb,0.578557+/0.06612,0.764486+/0.056987,0.185929+/0.060905,0.998,0.540963+/0.060255,0.696778+/0.056638,0.155815+/0.064146,0.99,0.540963+/0.060255,0.696778+/0.056638,0.155815+/0.064146,0.99,0.539988+/0.060455,0.696578+/0.056763,0.15659+/0.064467,0.992
rfc,0.579897+/0.068883,0.712385+/0.063373,0.132489+/0.076311,0.956,0.555556+/0.064915,0.655593+/0.062296,0.100037+/0.073049,0.902,0.555556+/0.064915,0.655593+/0.062296,0.100037+/0.073049,0.902,0.553124+/0.065473,0.654176+/0.062612,0.101053+/0.073677,0.916
xgb,0.594166+/0.069595,0.757286+/0.056356,0.16312+/0.062988,0.996,0.552778+/0.062437,0.692074+/0.053382,0.139296+/0.065477,0.97,0.552778+/0.062437,0.692074+/0.053382,0.139296+/0.065477,0.97,0.551744+/0.062829,0.69186+/0.053358,0.140117+/0.065791,0.974
knn,0.539451+/0.070085,0.604199+/0.069724,0.064748+/0.075868,0.804,0.525222+/0.060607,0.563296+/0.063124,0.038074+/0.071552,0.668,0.525222+/0.060607,0.563296+/0.063124,0.038074+/0.071552,0.668,0.524121+/0.060887,0.562251+/0.063602,0.038131+/0.072057,0.702
dt,0.533953+/0.067311,0.61438+/0.06152,0.080428+/0.083047,0.814,0.532444+/0.067236,0.613556+/0.061538,0.081111+/0.083213,0.796,0.532444+/0.067236,0.613556+/0.061538,0.081111+/0.083213,0.796,0.531416+/0.067456,0.612882+/0.061657,0.081466+/0.083422,0.816
