,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.58875+/0.065788,0.725828+/0.057076,0.137078+/0.062927,0.98,0.556037+/0.056381,0.658037+/0.055012,0.102+/0.065279,0.926,0.556037+/0.056381,0.658037+/0.055012,0.102+/0.065279,0.926,0.554872+/0.05641,0.657502+/0.055188,0.102631+/0.065796,0.936
lgb,0.578557+/0.06612,0.764303+/0.057275,0.185746+/0.062559,0.998,0.540963+/0.060255,0.690111+/0.059546,0.149148+/0.069751,0.976,0.540963+/0.060255,0.690111+/0.059546,0.149148+/0.069751,0.976,0.539988+/0.060455,0.689905+/0.059714,0.149917+/0.069829,0.98
rfc,0.574546+/0.070091,0.712297+/0.062558,0.13775+/0.075555,0.962,0.549519+/0.063612,0.659407+/0.061033,0.109889+/0.075099,0.898,0.549519+/0.063612,0.659407+/0.061033,0.109889+/0.075099,0.898,0.547357+/0.06385,0.658124+/0.06173,0.110767+/0.07571,0.912
xgb,0.594166+/0.069595,0.752311+/0.056513,0.158145+/0.062792,0.992,0.552778+/0.062437,0.685593+/0.053613,0.132815+/0.064156,0.972,0.552778+/0.062437,0.685593+/0.053613,0.132815+/0.064156,0.972,0.551744+/0.062829,0.68523+/0.053881,0.133486+/0.064561,0.98
knn,0.539451+/0.070085,0.591126+/0.071454,0.051676+/0.07688,0.75,0.525222+/0.060607,0.553037+/0.061735,0.027815+/0.067875,0.64,0.525222+/0.060607,0.553037+/0.061735,0.027815+/0.067875,0.64,0.524121+/0.060887,0.551116+/0.06257,0.026995+/0.068354,0.67
dt,0.533016+/0.067604,0.614566+/0.065352,0.081549+/0.08333,0.814,0.531778+/0.067361,0.613111+/0.06462,0.081333+/0.082723,0.8,0.531778+/0.067361,0.613111+/0.06462,0.081333+/0.082723,0.8,0.530758+/0.067432,0.612437+/0.064882,0.08168+/0.083077,0.832
