,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.58875+/0.065788,0.723259+/0.057376,0.13451+/0.064884,0.974,0.556037+/0.056381,0.664963+/0.055911,0.108926+/0.066636,0.928,0.556037+/0.056381,0.664963+/0.055911,0.108926+/0.066636,0.928,0.554872+/0.05641,0.664558+/0.056123,0.109686+/0.067202,0.944
lgb,0.578557+/0.06612,0.766393+/0.056519,0.187836+/0.063684,0.998,0.540963+/0.060255,0.697963+/0.057705,0.157+/0.071284,0.982,0.540963+/0.060255,0.697963+/0.057705,0.157+/0.071284,0.982,0.539988+/0.060455,0.697705+/0.057919,0.157718+/0.071761,0.984
rfc,0.577147+/0.067584,0.72184+/0.061113,0.144693+/0.07553,0.966,0.550963+/0.060797,0.665815+/0.059282,0.114852+/0.076041,0.916,0.550963+/0.060797,0.665815+/0.059282,0.114852+/0.076041,0.916,0.548524+/0.061432,0.664294+/0.059811,0.11577+/0.07699,0.932
xgb,0.594166+/0.069595,0.756568+/0.054965,0.162402+/0.066521,0.988,0.552778+/0.062437,0.694148+/0.054502,0.14137+/0.070711,0.962,0.552778+/0.062437,0.694148+/0.054502,0.14137+/0.070711,0.962,0.551744+/0.062829,0.693988+/0.054516,0.142244+/0.071273,0.966
knn,0.539451+/0.070085,0.625981+/0.071494,0.086531+/0.077477,0.86,0.525222+/0.060607,0.586815+/0.065616,0.061593+/0.073273,0.752,0.525222+/0.060607,0.586815+/0.065616,0.061593+/0.073273,0.752,0.524121+/0.060887,0.583902+/0.067118,0.059782+/0.074347,0.77
dt,0.534178+/0.066935,0.617154+/0.062746,0.082976+/0.084492,0.838,0.532815+/0.066378,0.61563+/0.062724,0.082815+/0.084028,0.818,0.532815+/0.066378,0.61563+/0.062724,0.082815+/0.084028,0.818,0.531736+/0.066665,0.614903+/0.06289,0.083166+/0.084194,0.848
