,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.58875+/0.065788,0.69818+/0.088208,0.109431+/0.091384,0.916,0.556037+/0.056381,0.650741+/0.060713,0.094704+/0.068786,0.884,0.556037+/0.056381,0.650741+/0.060713,0.094704+/0.068786,0.884,0.554872+/0.05641,0.650171+/0.060887,0.0953+/0.06962,0.9
lgb,0.578557+/0.06612,0.761+/0.056854,0.182443+/0.061267,1.0,0.540963+/0.060255,0.690815+/0.057579,0.149852+/0.067879,0.982,0.540963+/0.060255,0.690815+/0.057579,0.149852+/0.067879,0.982,0.539988+/0.060455,0.690446+/0.057626,0.150458+/0.068073,0.984
rfc,0.576174+/0.069119,0.714203+/0.064588,0.138029+/0.075811,0.958,0.551778+/0.064816,0.658407+/0.061137,0.10663+/0.076254,0.912,0.551778+/0.064816,0.658407+/0.061137,0.10663+/0.076254,0.912,0.549013+/0.06595,0.656939+/0.061445,0.107926+/0.077327,0.918
xgb,0.594166+/0.069595,0.752238+/0.056478,0.158072+/0.065149,0.988,0.552778+/0.062437,0.689222+/0.056116,0.136444+/0.067445,0.972,0.552778+/0.062437,0.689222+/0.056116,0.136444+/0.067445,0.972,0.551744+/0.062829,0.688787+/0.056306,0.137044+/0.06768,0.978
knn,0.539451+/0.070085,0.641486+/0.066282,0.102035+/0.079442,0.904,0.525222+/0.060607,0.606593+/0.062164,0.08137+/0.073579,0.826,0.525222+/0.060607,0.606593+/0.062164,0.08137+/0.073579,0.826,0.524121+/0.060887,0.604479+/0.062817,0.080358+/0.07415,0.844
dt,0.532064+/0.067677,0.617237+/0.065864,0.085173+/0.08293,0.858,0.531037+/0.067279,0.616222+/0.065588,0.085185+/0.082941,0.842,0.531037+/0.067279,0.616222+/0.065588,0.085185+/0.082941,0.842,0.530092+/0.067311,0.615398+/0.065562,0.085307+/0.083293,0.852
