,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.58875+/0.065788,0.7313+/0.05706,0.14255+/0.063629,0.988,0.556037+/0.056381,0.681556+/0.056223,0.125519+/0.065934,0.96,0.556037+/0.056381,0.681556+/0.056223,0.125519+/0.065934,0.96,0.554872+/0.05641,0.681185+/0.056191,0.126313+/0.066156,0.966
lgb,0.578557+/0.06612,0.760788+/0.057259,0.182231+/0.064849,0.994,0.540963+/0.060255,0.69363+/0.056353,0.152667+/0.071723,0.98,0.540963+/0.060255,0.69363+/0.056353,0.152667+/0.071723,0.98,0.539988+/0.060455,0.693416+/0.056526,0.153429+/0.072102,0.984
rfc,0.578645+/0.070568,0.720823+/0.062911,0.142178+/0.078491,0.958,0.553+/0.062753,0.66263+/0.05792,0.10963+/0.075536,0.908,0.553+/0.062753,0.66263+/0.05792,0.10963+/0.075536,0.908,0.550434+/0.063568,0.661243+/0.05838,0.110809+/0.076311,0.928
xgb,0.594166+/0.069595,0.754387+/0.057383,0.160221+/0.068912,0.99,0.552778+/0.062437,0.696889+/0.05531,0.144111+/0.06864,0.976,0.552778+/0.062437,0.696889+/0.05531,0.144111+/0.06864,0.976,0.551744+/0.062829,0.696697+/0.055416,0.144954+/0.069069,0.982
knn,0.539451+/0.070085,0.62371+/0.067308,0.084259+/0.080052,0.868,0.525222+/0.060607,0.581296+/0.065173,0.056074+/0.075883,0.74,0.525222+/0.060607,0.581296+/0.065173,0.056074+/0.075883,0.74,0.524121+/0.060887,0.5799+/0.065695,0.055779+/0.076422,0.768
dt,0.532808+/0.067134,0.620265+/0.065319,0.087457+/0.088352,0.84,0.531704+/0.066484,0.619185+/0.06552,0.087481+/0.087966,0.816,0.531704+/0.066484,0.619185+/0.06552,0.087481+/0.087966,0.816,0.530862+/0.066889,0.618575+/0.065789,0.087713+/0.088563,0.838
