,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.669751+/0.017382,0.708126+/0.018157,0.038375+/0.013761,1.0,0.45902+/0.023336,0.509866+/0.024426,0.050847+/0.021838,0.986,0.45902+/0.023336,0.509866+/0.024426,0.050847+/0.021838,0.986,0.42239+/0.024388,0.475701+/0.02544,0.053311+/0.020865,0.992
lgb,0.647511+/0.017579,0.722909+/0.016907,0.075398+/0.014492,1.0,0.419797+/0.022096,0.510752+/0.023367,0.090955+/0.024226,1.0,0.419797+/0.022096,0.510752+/0.023367,0.090955+/0.024226,1.0,0.407137+/0.022272,0.492255+/0.024208,0.085117+/0.023904,1.0
rfc,0.621598+/0.018901,0.688336+/0.017504,0.066739+/0.019366,1.0,0.398406+/0.02313,0.474708+/0.024828,0.076302+/0.029223,0.998,0.398406+/0.02313,0.474708+/0.024828,0.076302+/0.029223,0.998,0.393011+/0.02333,0.467133+/0.025196,0.074122+/0.028656,0.998
xgb,0.672715+/0.016532,0.74628+/0.015837,0.073565+/0.012908,1.0,0.448772+/0.021489,0.538257+/0.022366,0.089485+/0.022192,1.0,0.448772+/0.021489,0.538257+/0.022366,0.089485+/0.022192,1.0,0.421831+/0.022243,0.502147+/0.023801,0.080316+/0.021155,1.0
knn,0.590891+/0.017248,0.637972+/0.017416,0.047081+/0.018959,0.994,0.366267+/0.021415,0.418847+/0.021768,0.052579+/0.026506,0.974,0.366267+/0.021415,0.418847+/0.021768,0.052579+/0.026506,0.974,0.36156+/0.02169,0.416102+/0.022335,0.054542+/0.026355,0.986
dt,0.555403+/0.017016,0.597175+/0.017039,0.041772+/0.022008,0.968,0.373337+/0.023274,0.432847+/0.023396,0.05951+/0.030565,0.964,0.373337+/0.023274,0.432847+/0.023396,0.05951+/0.030565,0.964,0.373732+/0.02334,0.433833+/0.023601,0.060101+/0.03028,0.972
