,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.669751+/0.017382,0.706399+/0.017984,0.036648+/0.014008,0.996,0.45902+/0.023336,0.51147+/0.024578,0.05245+/0.021764,0.992,0.45902+/0.023336,0.51147+/0.024578,0.05245+/0.021764,0.992,0.42239+/0.024388,0.477755+/0.025441,0.055365+/0.020658,0.996
lgb,0.647511+/0.017579,0.722923+/0.01712,0.075412+/0.014254,1.0,0.419797+/0.022096,0.51147+/0.022562,0.091673+/0.023087,1.0,0.419797+/0.022096,0.51147+/0.022562,0.091673+/0.023087,1.0,0.407137+/0.022272,0.49264+/0.023326,0.085502+/0.022695,1.0
rfc,0.621178+/0.019084,0.687406+/0.018028,0.066227+/0.020444,0.998,0.397668+/0.023078,0.47447+/0.023624,0.076802+/0.029217,0.996,0.397668+/0.023078,0.47447+/0.023624,0.076802+/0.029217,0.996,0.392328+/0.023508,0.466929+/0.023879,0.074601+/0.028646,0.996
xgb,0.672715+/0.016532,0.74574+/0.016194,0.073025+/0.012951,1.0,0.448772+/0.021489,0.538495+/0.022423,0.089723+/0.021636,1.0,0.448772+/0.021489,0.538495+/0.022423,0.089723+/0.021636,1.0,0.421831+/0.022243,0.502702+/0.023585,0.080871+/0.020607,1.0
knn,0.590891+/0.017248,0.630798+/0.017924,0.039907+/0.018432,0.984,0.366267+/0.021415,0.414594+/0.021176,0.048327+/0.025205,0.98,0.366267+/0.021415,0.414594+/0.021176,0.048327+/0.025205,0.98,0.36156+/0.02169,0.411999+/0.021673,0.050438+/0.025253,0.978
dt,0.554581+/0.016489,0.596903+/0.018027,0.042321+/0.022808,0.966,0.372198+/0.022677,0.432703+/0.024526,0.060505+/0.031381,0.966,0.372198+/0.022677,0.432703+/0.024526,0.060505+/0.031381,0.966,0.372738+/0.022815,0.433798+/0.024503,0.06106+/0.03107,0.97
