,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.669751+/0.017382,0.710575+/0.017696,0.040824+/0.013582,1.0,0.45902+/0.023336,0.512114+/0.024449,0.053094+/0.021601,0.992,0.45902+/0.023336,0.512114+/0.024449,0.053094+/0.021601,0.992,0.42239+/0.024388,0.479543+/0.025917,0.057153+/0.020867,0.998
lgb,0.647511+/0.017579,0.723986+/0.01685,0.076475+/0.014421,1.0,0.419797+/0.022096,0.512361+/0.022857,0.092564+/0.023892,1.0,0.419797+/0.022096,0.512361+/0.022857,0.092564+/0.023892,1.0,0.407137+/0.022272,0.493509+/0.023804,0.086372+/0.023461,1.0
rfc,0.621608+/0.018872,0.687652+/0.017379,0.066044+/0.019483,1.0,0.398535+/0.021603,0.475926+/0.022451,0.077391+/0.028205,0.994,0.398535+/0.021603,0.475926+/0.022451,0.077391+/0.028205,0.994,0.393158+/0.021829,0.46813+/0.023276,0.074972+/0.027724,0.994
xgb,0.672715+/0.016532,0.746383+/0.016083,0.073668+/0.012838,1.0,0.448772+/0.021489,0.539416+/0.023037,0.090644+/0.023094,1.0,0.448772+/0.021489,0.539416+/0.023037,0.090644+/0.023094,1.0,0.421831+/0.022243,0.502793+/0.024254,0.080963+/0.021798,1.0
knn,0.590891+/0.017248,0.639069+/0.017899,0.048178+/0.019139,0.996,0.366267+/0.021415,0.42251+/0.021725,0.056243+/0.025462,0.992,0.366267+/0.021415,0.42251+/0.021725,0.056243+/0.025462,0.992,0.36156+/0.02169,0.420588+/0.022391,0.059027+/0.025598,0.996
dt,0.555665+/0.016893,0.598112+/0.017329,0.042446+/0.022811,0.964,0.373772+/0.023305,0.434035+/0.02362,0.060262+/0.03201,0.964,0.373772+/0.023305,0.434035+/0.02362,0.060262+/0.03201,0.964,0.374224+/0.023413,0.43483+/0.023715,0.060605+/0.031507,0.974
