,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.669751+/0.017382,0.714252+/0.018035,0.044501+/0.013944,1.0,0.45902+/0.023336,0.513911+/0.024326,0.054891+/0.021583,0.996,0.45902+/0.023336,0.513911+/0.024326,0.054891+/0.021583,0.996,0.42239+/0.024388,0.480248+/0.025498,0.057858+/0.020712,1.0
lgb,0.647511+/0.017579,0.723703+/0.017107,0.076192+/0.014255,1.0,0.419797+/0.022096,0.511178+/0.022828,0.091381+/0.022509,1.0,0.419797+/0.022096,0.511178+/0.022828,0.091381+/0.022509,1.0,0.407137+/0.022272,0.492376+/0.023718,0.085238+/0.022414,1.0
rfc,0.623416+/0.01874,0.688591+/0.018803,0.065174+/0.020807,1.0,0.399173+/0.022649,0.4775+/0.023896,0.078327+/0.030063,0.994,0.399173+/0.022649,0.4775+/0.023896,0.078327+/0.030063,0.994,0.393899+/0.022969,0.469813+/0.024674,0.075913+/0.029684,0.994
xgb,0.672715+/0.016532,0.745132+/0.015754,0.072417+/0.012944,1.0,0.448772+/0.021489,0.537748+/0.021597,0.088975+/0.021333,1.0,0.448772+/0.021489,0.537748+/0.021597,0.088975+/0.021333,1.0,0.421831+/0.022243,0.50181+/0.022794,0.079979+/0.020207,1.0
knn,0.590891+/0.017248,0.649457+/0.017108,0.058566+/0.018728,0.996,0.366267+/0.021415,0.429579+/0.020542,0.063312+/0.024415,0.996,0.366267+/0.021415,0.429579+/0.020542,0.063312+/0.024415,0.996,0.36156+/0.02169,0.427532+/0.020973,0.065972+/0.024399,0.996
dt,0.555076+/0.017442,0.596234+/0.017703,0.041158+/0.023814,0.952,0.372738+/0.024051,0.431639+/0.023861,0.058901+/0.033022,0.952,0.372738+/0.024051,0.431639+/0.023861,0.058901+/0.033022,0.952,0.373285+/0.024215,0.432656+/0.023853,0.059371+/0.032573,0.954
