,auc_baseline,auc_reference,auc_diff,auc_win_rate,acc_baseline,acc_reference,acc_diff,acc_win_rate,recall_baseline,recall_reference,recall_diff,recall_win_rate,f1_score_baseline,f1_score_reference,f1_score_diff,f1_score_win_rate
lr,0.669751+/0.017382,0.710448+/0.01829,0.040697+/0.01412,0.998,0.45902+/0.023336,0.511762+/0.024246,0.052743+/0.0216,0.988,0.45902+/0.023336,0.511762+/0.024246,0.052743+/0.0216,0.988,0.42239+/0.024388,0.478104+/0.025366,0.055714+/0.020659,0.994
lgb,0.647511+/0.017579,0.722263+/0.016964,0.074752+/0.014332,1.0,0.419797+/0.022096,0.510748+/0.022513,0.09095+/0.023816,1.0,0.419797+/0.022096,0.510748+/0.022513,0.09095+/0.023816,1.0,0.407137+/0.022272,0.492379+/0.023336,0.085242+/0.023262,1.0
rfc,0.622173+/0.019261,0.687357+/0.018044,0.065184+/0.020633,1.0,0.398916+/0.023349,0.472599+/0.022569,0.073683+/0.027469,0.99,0.398916+/0.023349,0.472599+/0.022569,0.073683+/0.027469,0.99,0.393833+/0.02351,0.464855+/0.022956,0.071022+/0.027104,0.99
xgb,0.672715+/0.016532,0.745855+/0.015784,0.07314+/0.013157,1.0,0.448772+/0.021489,0.537797+/0.022266,0.089025+/0.021701,1.0,0.448772+/0.021489,0.537797+/0.022266,0.089025+/0.021701,1.0,0.421831+/0.022243,0.501883+/0.023598,0.080053+/0.020727,1.0
knn,0.590891+/0.017248,0.640504+/0.016973,0.049613+/0.018837,0.996,0.366267+/0.021415,0.417322+/0.021648,0.051054+/0.025897,0.966,0.366267+/0.021415,0.417322+/0.021648,0.051054+/0.025897,0.966,0.36156+/0.02169,0.415915+/0.022217,0.054354+/0.025703,0.976
dt,0.55535+/0.017829,0.597715+/0.016742,0.042365+/0.022048,0.972,0.373248+/0.024104,0.433812+/0.022908,0.060564+/0.030597,0.97,0.373248+/0.024104,0.433812+/0.022908,0.060564+/0.030597,0.97,0.373711+/0.024248,0.434761+/0.023089,0.061051+/0.03031,0.972
